	location	variant	median_ga	ga_upper_80	ga_lower_80
0	USA	B.1.1.529	1.6197886	1.6314162	1.6109486
1	USA	BA.1	0.6491573	0.6555559	0.64386785
2	USA	BA.1.1	0.67485654	0.6762673	0.67309487
3	USA	BA.1.1.1	0.66055346	0.6810738	0.64071125
4	USA	BA.1.1.10	0.757043	0.7721609	0.74437594
5	USA	BA.1.1.14	0.6906616	0.705345	0.6756013
6	USA	BA.1.1.16	0.7298875	0.74041945	0.7181965
7	USA	BA.1.1.18	0.6428207	0.6477474	0.63685846
8	USA	BA.1.1.2	0.6316477	0.6508944	0.6157101
9	USA	BA.1.15	0.62645733	0.632679	0.62161255
10	USA	BA.1.15.2	0.6747601	0.68941593	0.65757746
11	USA	BA.1.17.2	0.6847317	0.70148647	0.66853505
12	USA	BA.1.18	0.6812657	0.6945629	0.669241
13	USA	BA.1.20	0.67535675	0.6847838	0.66744506
14	USA	BA.2.1	1.0319284	1.0379045	1.0257248
15	USA	BA.2.10	0.8816272	0.8842833	0.87811524
16	USA	BA.2.10.1	0.90316284	0.9126855	0.8981424
17	USA	BA.2.12	1.2199626	1.2258167	1.2128197
18	USA	BA.2.12.1	1.2211263	1.2218907	1.2201815
19	USA	BA.2.13	1.2238231	1.2285293	1.2187039
20	USA	BA.2.13.1	1.3590987	1.3671674	1.3509529
21	USA	BA.2.16	0.969345	0.9805948	0.95214236
22	USA	BA.2.18	1.2131288	1.216106	1.2090118
23	USA	BA.2.20	1.0400275	1.0474601	1.0308881
24	USA	BA.2.21	0.99552506	1.0041864	0.98912454
25	USA	BA.2.22	1.0640037	1.0743251	1.0548685
26	USA	BA.2.23	1.0976163	1.1032156	1.0919307
27	USA	BA.2.23.1	1.0596104	1.068094	1.04978
28	USA	BA.2.26	0.9302739	0.93538696	0.924245
29	USA	BA.2.3	0.9882027	0.9896474	0.9863875
30	USA	BA.2.3.10	0.99003196	1.0032816	0.9794433
31	USA	BA.2.3.14	1.020072	1.0351274	1.007286
32	USA	BA.2.3.17	0.96620166	0.9711056	0.9602367
33	USA	BA.2.3.2	1.13098	1.1423829	1.1192836
34	USA	BA.2.3.20	2.4141815	2.4291906	2.4008873
35	USA	BA.2.3.4	0.9774622	0.9837391	0.969806
36	USA	BA.2.3.6	1.0620456	1.0722024	1.0505701
37	USA	BA.2.31	1.0432262	1.049099	1.0365577
38	USA	BA.2.32	0.97723985	0.98495907	0.9687922
39	USA	BA.2.36	1.1788801	1.185202	1.1707202
40	USA	BA.2.37	0.9998412	1.0069453	0.99339974
41	USA	BA.2.38	1.3586471	1.364586	1.3520514
42	USA	BA.2.40.1	1.1787246	1.189955	1.1684139
43	USA	BA.2.41	1.1793743	1.1895475	1.1697377
44	USA	BA.2.47	1.111553	1.1246467	1.1007673
45	USA	BA.2.48	1.1750355	1.178987	1.16826
46	USA	BA.2.5	0.98097247	0.99666375	0.9621595
47	USA	BA.2.52	1.2762735	1.2871485	1.2622026
48	USA	BA.2.56	1.300905	1.3098645	1.293924
49	USA	BA.2.59	1.1038996	1.1149536	1.0932786
50	USA	BA.2.6	1.0155182	1.0266819	1.0053115
51	USA	BA.2.65	1.081147	1.0845957	1.0776072
52	USA	BA.2.7	0.918905	0.92168045	0.91639704
53	USA	BA.2.72	1.1329939	1.1413647	1.1253508
54	USA	BA.2.73	1.0265982	1.0335001	1.0185915
55	USA	BA.2.75	2.0564084	2.0627363	2.0491464
56	USA	BA.2.75.1	2.0543952	2.063206	2.046606
57	USA	BA.2.75.2	2.2338932	2.24128	2.2267826
58	USA	BA.2.75.5	2.2324235	2.241807	2.2220986
59	USA	BA.2.76	1.5774368	1.5869036	1.5682302
60	USA	BA.2.8	1.0369315	1.0498525	1.0243698
61	USA	BA.2.9	1.0154603	1.0165329	1.0140924
62	USA	BA.2.9.2	0.82040024	0.82737416	0.8119713
63	USA	BA.2.9.3	1.2236202	1.2310573	1.2131262
64	USA	BA.4	1.588033	1.5907845	1.5858701
65	USA	BA.4.1	1.5692438	1.5708674	1.5677063
66	USA	BA.4.1.1	1.5491335	1.5553215	1.5440551
67	USA	BA.4.1.6	1.5361199	1.5399398	1.531563
68	USA	BA.4.1.8	1.9014632	1.9076854	1.8947672
69	USA	BA.4.1.9	1.9965336	2.0083482	1.9847956
70	USA	BA.4.2	1.5804048	1.5831274	1.5775188
71	USA	BA.4.3	1.589299	1.5979772	1.582974
72	USA	BA.4.4	1.5805111	1.5823596	1.5778584
73	USA	BA.4.6	1.9398949	1.9413893	1.937956
74	USA	BA.5	1.8005987	1.8022538	1.7983383
75	USA	BA.5.1	1.8084471	1.8098487	1.8065077
76	USA	BA.5.1.1	1.7399355	1.7416966	1.7380168
77	USA	BA.5.1.10	1.8576926	1.8601971	1.8543276
78	USA	BA.5.1.12	2.0614939	2.0706055	2.0531566
79	USA	BA.5.1.18	2.0930295	2.0970402	2.0872164
80	USA	BA.5.1.2	1.8924041	1.8964014	1.8889438
81	USA	BA.5.1.21	1.8835485	1.8928912	1.8770046
82	USA	BA.5.1.22	1.8521221	1.8551742	1.8493854
83	USA	BA.5.1.23	1.8435365	1.8463304	1.8408005
84	USA	BA.5.1.24	1.8067831	1.8122357	1.803289
85	USA	BA.5.1.25	1.803144	1.8062316	1.7997282
86	USA	BA.5.1.27	2.2334852	2.2432563	2.2248173
87	USA	BA.5.1.3	1.8121976	1.8157176	1.8078953
88	USA	BA.5.1.30	1.8528097	1.8550011	1.8511038
