	location	variant	parent	median_ga_delta	ga_delta_upper_80	ga_delta_lower_80
0	USA	B.1.1.529	BA.2	1.816323	1.8333869	1.7965583
1	USA	BA.1	BA.2	0.70300716	0.7044768	0.70166785
2	USA	BA.1.1	BA.1	1.0426798	1.0458304	1.0397875
3	USA	BA.1.1.1	BA.1.1	1.0004717	1.0281682	0.97542197
4	USA	BA.1.1.10	BA.1.1	1.1280503	1.1536113	1.1070307
5	USA	BA.1.1.14	BA.1.1	1.0324166	1.0546826	1.0076656
6	USA	BA.1.1.16	BA.1.1	1.0674789	1.08742	1.050251
7	USA	BA.1.1.18	BA.1.1	0.94986284	0.95744866	0.9430778
8	USA	BA.1.1.2	BA.1.1	0.9112313	0.9362829	0.88982254
9	USA	BA.1.15	BA.1	0.9762453	0.98437434	0.9683009
10	USA	BA.1.15.2	BA.1.15	1.0756564	1.0988202	1.0499748
11	USA	BA.1.17.2	BA.1	1.0677621	1.0942829	1.0489379
12	USA	BA.1.18	BA.1	1.0674314	1.0877465	1.0453676
13	USA	BA.1.20	BA.1	1.0492303	1.0688466	1.0350131
14	USA	BA.2.1	BA.2	1.0333269	1.0394061	1.0271467
15	USA	BA.2.10	BA.2	0.8916806	0.8945158	0.88849485
16	USA	BA.2.10.1	BA.2.10	1.0192852	1.0267745	1.0119117
17	USA	BA.2.12	BA.2	1.2347231	1.2350202	1.2345575
18	USA	BA.2.12.1	BA.2.12	1.0063446	1.0064884	1.0061687
19	USA	BA.2.13	BA.2	1.2500309	1.2558029	1.2444656
20	USA	BA.2.13.1	BA.2.13	1.1120955	1.1216649	1.1034253
21	USA	BA.2.16	BA.2	0.9783321	0.9953605	0.96352524
22	USA	BA.2.18	BA.2	1.2292523	1.2332472	1.2241958
23	USA	BA.2.20	BA.2	1.0413702	1.0519863	1.0338794
24	USA	BA.2.21	BA.2	0.9909728	0.9961252	0.9852994
25	USA	BA.2.22	BA.2	1.0583658	1.0726029	1.0475692
26	USA	BA.2.23	BA.2	1.1003587	1.1065074	1.0944978
27	USA	BA.2.23.1	BA.2.23	0.9533678	0.9610336	0.94457316
28	USA	BA.2.26	BA.2	0.9327955	0.9379383	0.9265554
29	USA	BA.2.3	BA.2	0.990132	0.99123013	0.9891738
